Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Ethnicity,Occupation,Social Classification,Manner of Death,Place of Death,Place of Detainment,Wikipedia Page
http://www.wikidata.org/entity/Q43391596,Elspet Paris,Linlithgow,-3.610555555,55.97527778,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391617,Marioun Symsoun,Upper Kinneil,-3.645318,55.99669,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391657,Mawsie Stowane,Ae Bridgend,-3.55403,55.1656,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392151,Janet Pook,Stirling,-3.9369,56.1166,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392401,Isobel Bayne,Caithness,-3.5,58.41666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392403,Janet Henriesdochter,Caithness,-3.5,58.41666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392414,Jonet Losk,Largs,-4.863611111,55.79388889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392446,Gelis Johnston,Musselburgh,-3.05,55.93333333,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43392670,Janet Clerksoun,Cauld Law,-3.28158,55.328908,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394847,Janet Steil,Kilmaurs,-4.53028,55.6394,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394877,Margaret Harvie,Kippen,-4.173,56.127,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394895,Marion Logan,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394964,Janet Blackie,Dalkeith,-3.068332,55.893642,Female,NA,NA,NA,NA,NA,NA,NA
